absolute_magnitude,velocity,diameter_min,diameter_max,miss_distance_au,is_hazardous
20.71,13.6831580697,0.191670368,0.42858797200000004,0.1461124588,0
22.2,22.2944504635,0.096506147,0.2157943048,0.4320681251,0
22.2,8.7234011723,0.096506147,0.2157943048,0.4885000079,0
27.4,17.3426882383,0.0088014652,0.019680674500000002,0.1735863588,0
21.68,2.989077688,0.1226182113,0.2741826558,0.3944586027,0
24.65,18.8921682451,0.031228777000000003,0.0698296682,0.321905309,0
26.3,16.190479473,0.0146067964,0.0326617897,0.3039008424,0
23.57,5.857173136,0.0513517179,0.1148259319,0.078867788,0
21.4,3.503585248,0.1394938229,0.3119176705,0.4026077129,0
27.1,8.3077335897,0.010105434200000001,0.0225964377,0.2102187884,0
19.02,21.7172702856,0.4174024334,0.9333402150000001,0.0622961077,0
24.11,6.7708954919,0.0400456158,0.0895447192,0.1779231217,0
24.1,13.7312759362,0.040230458000000004,0.0899580388,0.3046087149,0
27.8,5.4177537831,0.0073207399000000005,0.016369672000000002,0.1639438315,0
24.5,13.8988043617,0.033462237400000004,0.0748238376,0.0277672477,0
26.3,8.5101953599,0.0146067964,0.0326617897,0.3881604303,0
26.8,5.7377031203,0.0116025908,0.0259441818,0.4965615905,0
22.24,16.1193787558,0.0947447113,0.21185561490000002,0.3835298337,0
20.21,16.4536855752,0.2412986969,0.5395602892,0.4822190708,1
21.13,11.329706099,0.1579628558,0.35321568340000004,0.1724905829,1
23.0,11.8855159466,0.0667659413,0.1492931834,0.4535419468,0
24.8,18.2701923272,0.029144390500000002,0.0651688382,0.471906956,0
20.6,24.4871005192,0.2016299194,0.4508582062,0.1687126384,1
25.5,11.7093638965,0.0211132445,0.0472106499,0.1096316467,0
26.65,16.0606508656,0.012432400100000001,0.027799691600000002,0.3776509165,0
23.83,12.295924694,0.045556985200000004,0.1018685158,0.2908163831,0
26.0,5.6618021979,0.0167708462,0.0375007522,0.3090686023,0
21.32,20.5022975723,0.1447288051,0.32362344660000003,0.4296568391,1
22.78,8.7450636582,0.0738847787,0.1652113876,0.350727418,0
22.11,8.3704648665,0.100590039,0.22492616510000002,0.3524049728,0
23.85,25.687964532,0.0451393163,0.1009345797,0.4658353686,0
27.7,4.6733312489,0.0076657557000000005,0.0171411509,0.1665896616,0
29.7,16.994926188,0.0030517923000000003,0.006824015100000001,0.3532168482,0
24.9,2.8388564256,0.0278326768,0.0622357573,0.2863982741,0
25.53,5.2640587267,0.0208235599,0.0465628955,0.1107643624,0
25.7,8.4106431121,0.019255507800000002,0.0430566244,0.1667695414,0
22.76,4.6243091864,0.0745684261,0.1667400697,0.1416745662,0
22.43,28.8006779365,0.08680704580000001,0.1941064553,0.3333053194,0
19.74,11.6063919733,0.2996090839,0.6699462782000001,0.1210854487,0
21.41,21.4552352132,0.138852907,0.310484539,0.410265432,0
23.93,9.005778407,0.0435065831,0.0972836774,0.1501851316,0
22.24,16.1193787558,0.0947447113,0.21185561490000002,0.3835298337,0
20.21,16.4536855752,0.2412986969,0.5395602892,0.4822190708,1
21.13,11.329706099,0.1579628558,0.35321568340000004,0.1724905829,1
23.0,11.8855159466,0.0667659413,0.1492931834,0.4535419468,0
26.1,11.5406635844,0.0160160338,0.0358129403,0.3130160849,0
19.83,26.906909844,0.2874451443,0.6427468824,0.0929066367,0
22.9,14.1767380101,0.0699125232,0.1563291544,0.4282958644,0
23.34,7.5855234781,0.057089334000000005,0.1276556316,0.0637192609,0
25.2,16.5191032199,0.0242412481,0.054205078600000005,0.3905610419,0
25.04,19.8834027882,0.0260948603,0.0583498816,0.4911130144,0
25.1,17.5894332335,0.025383702900000003,0.0567596853,0.4363825076,0
29.1,2.7834842942,0.0040230458000000005,0.0089958039,0.1288355887,0
25.36,24.2069706021,0.0225193047,0.050354696000000004,0.4478141595,0
24.3,11.208486221,0.0366906138,0.0820427065,0.375826659,0
24.9,7.6533986418,0.0278326768,0.0622357573,0.488551792,0
26.28,11.0931666393,0.014741951500000001,0.0329640056,0.4467088447,0
27.1,7.1744118335,0.010105434200000001,0.0225964377,0.3902704782,0
20.2,14.225467097,0.24241248110000002,0.5420507863,0.3483199345,0
24.37,9.5804983568,0.0355267088,0.07944013600000001,0.1043971822,0
26.1,4.9031318064,0.0160160338,0.0358129403,0.2046169475,0
20.35,14.6937049228,0.2262324906,0.5058712276,0.1535031379,0
26.4,25.7197750784,0.0139493823,0.0311917671,0.3180661417,0
20.72,10.8550718088,0.19078972260000002,0.4266187892,0.0849431072,0
23.35,17.4225834835,0.056827032300000004,0.1270691073,0.0798228468,0
23.2,12.1326203556,0.060891262200000004,0.1361570015,0.3333774133,0
23.8,12.5613895238,0.046190746000000005,0.1032856481,0.101022612,0
23.91,9.1378678263,0.0439091446,0.0981838322,0.1327291729,0
24.7,13.3732129572,0.0305179233,0.0682401509,0.3621530855,0
25.3,7.424841719,0.023150212200000003,0.0517654482,0.2794288567,0
23.79,10.553565843,0.0464039528,0.1037623929,0.0461221785,0
19.83,26.906909844,0.2874451443,0.6427468824,0.0929066367,0
22.9,14.1767380101,0.0699125232,0.1563291544,0.4282958644,0
23.34,7.5855234781,0.057089334000000005,0.1276556316,0.0637192609,0
25.2,16.5191032199,0.0242412481,0.054205078600000005,0.3905610419,0
25.04,19.8834027882,0.0260948603,0.0583498816,0.4911130144,0
